"year","age","med.abund.age.fran","low.abund.age.fran","up.abund.age.fran","med.bm.age.fran","low.bm.age.fran","up.bm.age.fran","med.mat.abund.age.fran","low.mat.abund.age.fran","up.mat.abund.age.fran","med.mat.bm.age.fran","low.mat.bm.age.fran","up.mat.bm.age.fran"
2012,"4",210.120098249,176.0755800029,256.1546108484,4408.22041393414,3700.34742158578,5357.40579447987,210.120098249,176.0755800029,256.1546108484,4408.22041393414,3700.34742158578,5357.40579447987
2012,"5",0,0,0,0,0,0,0,0,0,0,0,0
2012,"Unknown",55.6844392983,46.5367032222,67.3209488622,718.32926694807,600.32347156638,868.44024032238,30.069597221082,25.129819739988,36.353312385588,387.897804151958,324.174674645845,468.957729774085
2013,"1",7048.456321829,4087.1252148138,13321.9980762124,18344.071037297,9533.51363831462,38212.6226030367,7.449199796547,1.352423313909,32.584269746367,29.6478151902571,5.38264478935782,129.685393590541
2013,"2",26019.5103854492,16823.6731460147,43276.6764806938,238928.475732432,155159.16605908,402558.363434648,8772.66519797492,5635.38674765687,15581.6259716592,83703.0089393576,54009.2480708784,153112.291078804
2013,"3",19681.0316672639,13871.9682403316,32198.4647363425,429507.778941321,301501.371023927,702203.530452514,18711.5160644602,13148.8631199903,30773.5015213332,408326.963328576,285789.791717716,670944.483446412
2013,"4",890.9331622492,637.8320146281,1442.4280917928,21707.225271617,15453.2258498706,35510.8733495873,884.273107024548,632.704462043774,1432.59074595798,21556.7991727198,15337.5940353961,35289.0597115666
2013,"5",0,0,0,0,0,0,0,0,0,0,0,0
2014,"1",12588.838289892,10288.83899767,16396.373312138,46175.5759303605,37770.6733141972,60217.5171456857,69.483747913502,55.883320010007,96.464249242023,351.1124973236,281.082802946423,487.989261154473
2014,"2",91165.4327511409,77951.6262028898,111956.600879052,669493.095594085,573368.681529877,822373.769744594,17465.1604106286,14655.6028294109,22431.7457767414,135970.843462602,114020.216553568,174831.799092614
2014,"3",14959.033117044,12781.134056015,18293.0624616758,287350.021780125,244148.531388126,353836.517477607,12555.893266347,10615.4299678148,15613.085609853,245388.042599484,206487.555640561,306790.655819723
2014,"4",2588.956648143,2277.7088815498,3016.2265775894,57026.5953316323,49792.166167991,67268.6055218361,2588.956648143,2277.7088815498,3016.2265775894,57026.5953316323,49792.166167991,67268.6055218361
2014,"5",0,0,0,0,0,0,0,0,0,0,0,0
2014,NA,0,0,0,0,0,0,0,0,0,0,0,0
2015,"1",12537.2088746937,9370.869396143,17787.2644665024,38504.3299654738,28556.1422599053,54977.9579441747,46.66432357488,36.2121050448,63.1286054184,138.593041017394,107.549951983056,187.491958092648
2015,"2",35538.6206558668,25683.0743525974,51776.9810141997,201456.207475043,143012.315177858,298043.038473981,7647.52527442187,5023.24065194579,12252.2775511816,46750.0522695727,30608.5382553522,75042.2177009613
2015,"3",10930.9174414842,8882.6735619883,14125.7384652291,185054.819654793,151806.088797501,236442.483873228,10108.9268695625,8172.90727652346,13136.5585689061,170596.91308223,139316.231496379,219049.084029977
2015,"4",344.0888874198,298.5541510058,414.0907881654,8689.98836046781,7540.89506057833,10449.3808918749,325.1817445932,282.08909864648,391.9108760904,8194.24307555436,7109.18138771696,9867.82359726837
2015,"Unknown",2378.4392822083,1825.290132063,3213.552015202,39782.0107202996,30400.7158667432,53724.4913546513,2378.4392822083,1825.290132063,3213.552015202,39782.0107202996,30400.7158667432,53724.4913546513
2015,NA,0,0,0,0,0,0,0,0,0,0,0,0
2017,"1",73.8021153469765,58.2688588998143,122.226721093506,95.7598654751083,75.9082224301952,153.411827776699,0,0,0,0,0,0
2017,"2",16861.391961313,14234.7969800855,23107.0685583774,111018.531155409,94646.1341275961,145914.182079597,5630.12614645567,4833.65875232685,7120.69569425147,40245.6095257828,34676.2398492876,50007.6295560302
